coin,snapshot height,balance
TRX(ALL),-,107780290.99
TRX,84947615,57780290.99
sTRX,84947615,50000000.00
HTX(ALL),-,1034881184632.99
HTX-TRC20,84947615,1034881184632.99
ETH(ALL),-,252248.61
ETH,25653898,1142.05
stETH,25653898,247794.87
gtWETH,25653898,3116.65
ETH-Arbitrum,489687638,100.05
ETH-Optimism,154957412,94.99
USDT(ALL),-,968078308.92
USDT-TRC20,84947615,3862986.32
jUSDT-TRC20,84947615,1421629.43
USDT-ERC20,25653898,23069275.69
USDT-spUSDT,25653898,0.00
USDT-aEthUSDT,25653898,27106516.66
USDT-SUSDS,25653898,912617900.82
SOL(All),-,62247.35
SOL,436386785,62247.35
XRP(All),-,53408447.45
XRP,105979279,53408447.45
XLM(All),-,113516831.82
XLM,63735903,113516831.82
SHIB(All),-,381232094570.39
SHIB-ERC20,25653898,381232094570.39
ETC(All),-,567968.23
ETC,25057173,567968.23
ADA(All),-,8911600.28
ADA,13747710,8911600.28
DOGE(All),-,323210395.42
DOGE,6312766,323105672.28
DOGE-TRC20,84947615,104723.14
LTC(All),-,143400.51
LTC,3151874,143400.51
BCH(All),-,19622.08
BCH,957591,19622.08
BTC(ALL),-,12616.62
BTC,960428,10863.78
BTC-TRC20,84947615,28.14
BTC-ERC20,25653898,1724.70

coin,address,snapshot height,balance,message,signature
ADA,addr1qxyl2w9m3le06ap89j089tm90ks4xttscmz5yup4rupg7jnp2e4cx2g5aznrx754xufx4c63sz0rp2u3em6wktk8sp0qxrsrjl,13747710,1501.33,-,-
ADA,addr1qy7kcd0qrvc5t6mqqacz8ta5jc9an6xj4uqavreey3gf45pads67qxe3gh4kqpmsywhmf9stm85d9tcp6c8njfzsntgqxsu4m8,13747710,2515762.36,-,-
ADA,addr1vxn9jr4ewahttr8wd8d2a4n2jq96crcje0c8402s9spzppqgmv9hu,13747710,80855.70,-,-
DOGE-TRC20,TWhDfwC8QE6pQyiYy248dNor3uphPEw5M2,84947615,104723.14,poloniex,03b855185b88b39370f92441d89fd43d10babc866b80bd43c1ba166f5973fa9d007efdd508731ae978aa902a6ad6352f371c0353b20bc6709daa0e682a6f12ff01
DOGE,DCfNyepSTdEjr2v7xchUyZGWDdW4vLzvwp,6312766,313028085.33,-,-
DOGE,DFCHL6aJVWdf1QQdfPxruBpzATyzs67vqo,6312766,8500027.69,-,-
DOGE,A5BfZTBXTLceowirFWrAQzR6bZbiGuSusR,6312766,1341578.92,-,-
DOGE,DRGojqmiBpu6dzRj43kpuwfkYzt6XZxvDR,6312766,132244.92,-,-
DOGE,9w9FGxyJqaiYh7VpTsk56aZGwiysafAYWB,6312766,101000.04,-,-
DOGE,DKcE199usBWUVvMXaAeHvjJxn34RP41NvQ,6312766,2000.00,-,-
DOGE,DQZeWAhuS7ocgyvv6Vy3abfCw9aQBfpSM2,6312766,576.68,-,-
DOGE,DEnNk9uyndgfhjVnZJVWD2RiGtfTbzAQjJ,6312766,100.70,-,-
DOGE,DGjPdUZSV95UbJFMk7n1H8Ty1S892SHRx5,6312766,58.00,-,-
LTC,MX1sfZsYVZvS77JUEf3cUPcUaT4SgWoZtS,3151874,30800.07,-,-
LTC,MHjYawKxjjy1XhX4STgRPJAT1YV79YZu5X,3151874,29499.07,-,-
LTC,MFtfYJQqvqDapt54BaTCDNfPDf1r2Qusah,3151874,26000.09,-,-
LTC,MViFMha9MHwTv7zCCQ5PNge56MxwBAzSRb,3151874,23100.09,-,-
LTC,MWEBrkDEJQhGy6vo6nL9YeJNwA975LJGSu,3151874,18000.89,-,-
LTC,MHwaWFCv39mHjVpknKGHX1TBk2E9o2GqJT,3151874,4390.00,-,-
LTC,M86ytFK3E4qZGuT1FaVLtNREJSfvB4rn9w,3151874,2139.99,-,-
LTC,MUHxEy4FA4g4YuLxf7FLKackVGk4JjcHP4,3151874,2000.44,-,-
LTC,MRv94wD5V1dE87dVSFdVkgPTxLAscwMKUs,3151874,1740.00,-,-
LTC,MQPDFautdktzxnj4tJTEvYJjihLFa7FCXG,3151874,799.99,-,-
LTC,MGvqckdthwEE5ujzhiLui2ihWL2fwuYi5y,3151874,730.00,-,-
LTC,MBdWMGeg7rgpnKChomTpcw6wy6eSs3hgCd,3151874,619.99,-,-
LTC,MC4sqZj5zh31RcqshoKQaxsNXdH57gAGaH,3151874,459.99,-,-
LTC,M8jZp9Nu8M8bSKUh3bQzajgyckXMxfYXmZ,3151874,449.99,-,-
LTC,MRHURpY5VpC4Jes1EJX3rGJprZJWeMKHDZ,3151874,429.99,-,-
LTC,M8m9B5ssdnh7ze3kjofb3W6SxsRkbZf9aD,3151874,309.99,-,-
LTC,MEybANfQvKm1ncQQtFakhmERdHD5bSZ5y4,3151874,299.99,-,-
LTC,M9UQxLychav8EToucNsMm1BQHt6sD6Kdbi,3151874,269.99,-,-
LTC,LWsZzAX55LnSb9Rknm8CfnFiEyPwmaVEGp,3151874,225.07,-,-
LTC,MAKCFc8TaSV1Ub1HnFQjTfKQEUJegkVnz2,3151874,159.99,-,-
LTC,MLqhq6QAazmhrdVMbK3XdiNQ2sdd5xBZkM,3151874,134.99,-,-
LTC,MPhg743R2m4gD7jUJri7ayzsV9RkKGqExX,3151874,129.99,-,-
LTC,MT9Zxjvw5UgHGGgYhQbZTi2HDTRenzAQHW,3151874,119.99,-,-
LTC,MSnyvsyZPPRY74djhvHok1FFV3ZgguUUuE,3151874,109.99,-,-
LTC,MFHUuqbUjr2PfxKg12pzZPfTh4Nbrpu4ke,3151874,69.99,-,-
LTC,MDfFy7WKVfyWUeAGkTKr6H9winrHGhq3Kx,3151874,69.99,-,-
LTC,MNe4DEs6K57qMYK5XS5xDARVfJ724cm9kv,3151874,69.99,-,-
LTC,MVgUxMWaCAZx7NbRox8zVvakpRUKsJphZQ,3151874,69.99,-,-
LTC,MPN7eZwo3Cswj3Tdbea6NDZFYBzV1Yi8gi,3151874,59.99,-,-
LTC,MDySiCWz83UvN4EZuM3j2ToWcbjE6ohMHK,3151874,50.00,-,-
LTC,MU8tUgygqKkmy5MpemYXQYjkrQqJwTJ8UJ,3151874,30.00,-,-
LTC,MTNSpFwzCeaQrhZRKFfc3UAiWzK7A9oK6S,3151874,29.99,-,-
LTC,MEmhYn1fuyLTX7se1A7CzwwJPxDamG6m8N,3151874,29.99,-,-
BCH,1PUonXWjjHzwRfDKzZzFA1DGRJqUVXzinD,957591,3487.99,-,-
BCH,1FoY814LGdRyW3wTcVXsW86HXCGeJtqQLr,957591,3387.99,-,-
BCH,1MYG2amTMGqPvFVaoCK4VpchT7Ht9ErgNT,957591,3268.99,-,-
BCH,1225Kim9pEjmPDnfbMs4MK6Fywr2k2PfuA,957591,2587.99,-,-
